nomvar,ip1,ip3,usage,origin,pack,date,short_fr_desc,short_en_desc,long_fr_desc,long_en_desc,type,units,precision,min,max,magnitude,value,meaning_fr,meaning_en
QCAN,,,current,TEB,,2018-10-10,Humidité spécifique dans la rue canyon,Specific humidity in the street canyon,Humidité spécifique dans la rue à mi-hauteur des bâtiments,Specific humidity in the street at mid-building height level,real,kg kg⁻¹,,,,,,,
UCAN,,,current,TEB,,2018-10-10,Vitesse du vent dans la rue canyon,Wind speed in the street canyon,Vitesse du vent dans la rue à mi-hauteur des bâtiments,Wind speed in the street at mid-building height level,real,kg kg⁻¹,,,,,,,
TLRF,1199,,current,TEB,,2018-10-10,Température des couches de toits (contact avec l'atmosphère),Temperature of roof layers (contact with the atmosphere),Température des couches de matériaux composant les toits des bâtiments (contact avec l'atmosphère),Temperature of the layers of materials which make up the roofs of buildings (contact with the atmosphere),real,K,,,,,,,
TLRF,1198,,current,TEB,,2018-10-10,Température des couches de toits (couche intermédiaire),Temperature of roof layers (intermediate layer),Température des couches de matériaux composant les toits des bâtiments (couche intermédiaire),Temperature of the layers of materials which make up the roofs of buildings (intermediate layer),real,K,,,,,,,
TLRF,1197,,current,TEB,,2018-10-10,Température des couches de toits (contact avec intérieur du bâtiment),Temperature of roof layers (contact with the building interior),Température des couches de matériaux composant les toits des bâtiments (contact avec intérieur du bâtiment),Temperature of the layers of materials which make up the roofs of buildings (contact with the interior of the building),real,K,,,,,,,
TLRD,1199,,current,TEB,,2018-10-10,Température des couches de routes (contact avec l'atmosphère),Temperature of road layers (contact with the atmosphere),Température des couches de matériaux composant les routes (contact avec l'atmosphère),Temperature of the layers of materials which make up the roads (contact with the atmosphere),real,K,,,,,,,
TLRD,1198,,current,TEB,,2018-10-10,Température des couches de routes (couche intermédiaire),Temperature of road layers (intermediate layer),Température des couches de matériaux composant les routes (couche intermédiaire),Temperature of the layers of materials which make up the roads (intermediate layer),real,K,,,,,,,
TLRD,1197,,current,TEB,,2018-10-10,Température des couches de routes (couche profonde),Temperature of road layers (deep layer),Température des couches de matériaux composant les routes (couche profonde),Temperature of the layers of materials which make up the roads (deep layer),real,K,,,,,,,
TLWL,1199,,current,TEB,,2018-10-10,Température des couches de murs (contact avec l'atmosphère),Temperature of wall layers (contact with the atmosphere),Température des couches de matériaux composant les murs des bâtiments (contact avec l'atmosphère),Temperature of the layers of materials which make up the walls of buildings (contact with the atmosphere),real,K,,,,,,,
TLWL,1198,,current,TEB,,2018-10-10,Température des couches de murs (couche intermédiaire),Temperature of wall layers (intermediate layer),Température des couches de matériaux composant les murs des bâtiments (couche intermédiaire),Temperature of the layers of materials which make up the walls of buildings (intermediate layer),real,K,,,,,,,
TLWL,1197,,current,TEB,,2018-10-10,Température des couches de murs (contact avec intérieur du bâtiment),Temperature of wall layers (contact with the building interior),Température des couches de matériaux composant les murs des bâtiments (contact avec intérieur du bâtiment),Temperature of the layers of materials which make up the walls of buildings (contact with the interior of the building),real,K,,,,,,,
TBLD,,,current,TEB,,2018-10-10,Température à l’intérieur des bâtiments,Internal building temperature,Température de l’air moyenne à l’intérieur des bâtiments,Mean air temperature inside buildings,real,K,,,,,,,
TIRD,,,current,TEB,,2018-10-10,Température sous les routes,Temperature beneath the roads,Température moyenne du sol sous les surfaces imperméables,Mean ground temperature beneath impervious surfaces,real,K,,,,,,,
WSRF,,,current,TEB,,2018-10-10,Réservoir d'eau sur les toits,Water content of the roof reservoir,Quantité d'eau accumulée sur les toits des bâtiments,Water amount accumulated on the roofs of buildings,real,kg m⁻²,,,,,,,
WSRD,,,current,TEB,,2018-10-10,Réservoir d'eau sur les routes,Water content of the road reservoir,Quantité d'eau accumulée sur les surfaces imperméables,Water amount accumulated on impervious surfaces,real,kg m⁻²,,,,,,,
SWRF,,,current,TEB,,2018-10-10,Quantité d'eau et de neige sur les toits,Water and snow content on roofs,Quantité de neige et d'eau accumulée sur les toits des bâtiments,Snow and water amounts accumulated on the roofs of buildings,real,kg m⁻²,,,,,,,
SWRD,,,current,TEB,,2018-10-10,Quantité d'eau et de neige sur les routes,Water and snow content on roads,Quantité de neighe et d'eau accumulée sur les surfaces imperméables,Snow and water amounts accumulated on impervious surfaces,real,kg m⁻²,,,,,,,
STRF,,,current,TEB,,2018-10-10,Température moyenne de la neige sur les toits,Mean snow temperature on roofs,Température moyenne de la neige sur les toits des bâtiments,Mean temperature of snow on the roofs of buildings,real,K,,,,,,,
STRD,,,current,TEB,,2018-10-10,Température moyenne de la neige sur les routes,Mean snow temperature on roads,Température moyenne de la neige sur les surfaces imperméables,Mean temperature of snow on impervious surfaces,real,K,,,,,,,
SSRF,,,current,TEB,,2018-10-10,Température de surface de la neige sur les toits,Snow surface temperature on roofs,Température de surface de la neige sur les toits des bâtiments,Surface temperature of snow on the roofs of buildings,real,K,,,,,,,
SSRD,,,current,TEB,,2018-10-10,Température de surface de la neige sur les routes,Snow surface temperature on roads,Température de surface de la neige sur les surfaces imperméables,Surface temperature of snow on impervious surfaces,real,K,,,,,,,
SDRF,,,current,TEB,,2018-10-10,Densité de la neige sur les toits,Snow density on roofs,Densité de la neige sur les toits des bâtiments,Density of snow on the roofs of buildings,real,kg m⁻³,,,,,,,
SDRD,,,current,TEB,,2018-10-10,Densité de la neige sur les routes,Snow density on roads,Densité de la neige sur les surfaces imperméables,Density of snow on impervious surfaces,real,kg m⁻³,,,,,,,
SARF,,,current,TEB,,2018-10-10,Albédo de la neige sur les toits,Snow albedo on roofs,Albédo de la neige sur les toits des bâtiments,Albedo of snow on the roofs of buildings,real,fraction,,0.0,1.0,,,,
SARD,,,current,TEB,,2018-10-10,Albédo de la neige sur les routes,Snow albedo on roads,Albédo de la neige sur les surfaces imperméables,Albedo of snow on impervious surfaces,real,fraction,,0.0,1.0,,,,
SERF,,,current,TEB,,2018-10-10,Émissivité de la neige sur les toits,Snow emissivity on roofs,Émissivité de la neige sur les toits des bâtiments,Emissivity of snow on the roofs of buildings,real,nil,,0.0,1.0,,,,
SERD,,,current,TEB,,2018-10-10,Émissivité de la neige sur les routes,Snow emissivity on roads,Émissivité de la neige sur les surfaces imperméables,Emissivity of snow on impervious surfaces,real,nil,,0.0,1.0,,,,
DXSU,1199,,current,TEB,,2018-10-10,UTCI au soleil (Sol),UTCI in sunlight (Soil),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Sol),UTCI (Universal Thermal Climate Index) for a human in sunlight (Soil),real,°C,,,,,,,
DXSU,1198,,current,TEB,,2018-10-10,UTCI au soleil (Glacier),UTCI in sunlight (Glacier),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Glacier),UTCI (Universal Thermal Climate Index) for a human in sunlight (Glacier),real,°C,,,,,,,
DXSU,1197,,current,TEB,,2018-10-10,UTCI au soleil (Eau),UTCI in sunlight (Water),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Eau),UTCI (Universal Thermal Climate Index) for a human in sunlight (Water),real,°C,,,,,,,
DXSU,1196,,current,TEB,,2018-10-10,UTCI au soleil (Glace Marine),UTCI in sunlight (Sea Ice),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Glace Marine),UTCI (Universal Thermal Climate Index) for a human in sunlight (Sea Ice),real,°C,,,,,,,
DXSU,1195,,current,TEB,,2018-10-10,UTCI au soleil (Agrégée),UTCI in sunlight (Aggregated),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Agrégée),UTCI (Universal Thermal Climate Index) for a human in sunlight (Aggregated),real,°C,,,,,,,
DXSU,1194,,current,TEB,,2018-10-10,UTCI au soleil (Urbain),UTCI in sunlight (Urban),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé au soleil (Urbain),UTCI (Universal Thermal Climate Index) for a human in sunlight (Urban),real,°C,,,,,,,
DXHD,1199,,current,TEB,,2018-10-10,UTCI à l'ombre (Sol),UTCI in the shade (Soil),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Sol),UTCI (Universal Thermal Climate Index) for a human in the shade (Soil),real,°C,,,,,,,
DXHD,1198,,current,TEB,,2018-10-10,UTCI à l'ombre (Glacier),UTCI in the shade (Glacier),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Glacier),UTCI (Universal Thermal Climate Index) for a human in the shade (Glacier),real,°C,,,,,,,
DXHD,1197,,current,TEB,,2018-10-10,UTCI à l'ombre (Eau),UTCI in the shade (Water),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Eau),UTCI (Universal Thermal Climate Index) for a human in the shade (Water),real,°C,,,,,,,
DXHD,1196,,current,TEB,,2018-10-10,UTCI à l'ombre (Glace Marine),UTCI in the shade (Sea Ice),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Glace Marine),UTCI (Universal Thermal Climate Index) for a human in the shade (Sea Ice),real,°C,,,,,,,
DXHD,1195,,current,TEB,,2018-10-10,UTCI à l'ombre (Agrégée),UTCI in the shade (Aggregated),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Agrégée),UTCI (Universal Thermal Climate Index) for a human in the shade (Aggregated),real,°C,,,,,,,
DXHD,1194,,current,TEB,,2018-10-10,UTCI à l'ombre (Urbain),UTCI in the shade (Urban),Indice de confort thermique UTCI (Universal Thermal Climate Index) pour un humain placé à l'ombre (Urbain),UTCI (Universal Thermal Climate Index) for a human in the shade (Urban),real,°C,,,,,,,
GXSU,1199,,current,TEB,,2018-10-10,WBGT au soleil (Sol),WBGT in sunlight (Soil),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Sol),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Soil),real,°C,,,,,,,
GXSU,1198,,current,TEB,,2018-10-10,WBGT au soleil (Glacier),WBGT in sunlight (Glacier),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Glacier),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Glacier),real,°C,,,,,,,
GXSU,1197,,current,TEB,,2018-10-10,WBGT au soleil (Eau),WBGT in sunlight (Water),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Eau),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Water),real,°C,,,,,,,
GXSU,1196,,current,TEB,,2018-10-10,WBGT au soleil (Glace Marine),WBGT in sunlight (Sea Ice),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Glace Marine),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Sea Ice),real,°C,,,,,,,
GXSU,1195,,current,TEB,,2018-10-10,WBGT au soleil (Agrégée),WBGT in sunlight (Aggregated),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Agrégée),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Aggregated),real,°C,,,,,,,
GXSU,1194,,current,TEB,,2018-10-10,WBGT au soleil (Urbain),WBGT in sunlight (Urban),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé au soleil (Urbain),WBGT (Wet-Bulb Globe Temperature) for a human in sunlight (Urban),real,°C,,,,,,,
GXHD,1199,,current,TEB,,2018-10-10,WBGT à l'ombre (Sol),WBGT in the shade (Soil),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Sol),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Soil),real,°C,,,,,,,
GXHD,1198,,current,TEB,,2018-10-10,WBGT à l'ombre (Glacier),WBGT in the shade (Glacier),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Glacier),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Glacier),real,°C,,,,,,,
GXHD,1197,,current,TEB,,2018-10-10,WBGT à l'ombre (Eau),WBGT in the shade (Water),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Eau),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Water),real,°C,,,,,,,
GXHD,1196,,current,TEB,,2018-10-10,WBGT à l'ombre (Glace Marine),WBGT in the shade (Sea Ice),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Glace Marine),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Sea Ice),real,°C,,,,,,,
GXHD,1195,,current,TEB,,2018-10-10,WBGT à l'ombre (Agrégée),WBGT in the shade (Aggregated),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Agrégée),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Aggregated),real,°C,,,,,,,
GXHD,1194,,current,TEB,,2018-10-10,WBGT à l'ombre (Urbain),WBGT in the shade (Urban),Indice de confort thermique WBGT (Wet-Bulb Globe Temperature) pour un humain placé à l'ombre (Urbain),WBGT (Wet-Bulb Globe Temperature) for a human in the shade (Urban),real,°C,,,,,,,
IUVC,,,current,ARQI,9,2019-03-01,Prévision numérique de l'indice UV pour des conditions de ciel clair,Model predicted UV Index for clear-sky conditions,"Indice Ultraviolet (UV) (sans unité) dérivé de la prévision numérique de l'irradiance solaire UV atteignant la surface en l'absence de nuages, c'est-à-dire calculé à partir de FCTB.","Ultraviolet (UV) Index (unitless) derived from the model predicted UV solar irradiance reaching the surface in the absence of clouds, i.e., calculated from FCTB.",real,nil,,0.0,30.0,,,,
UVCX,,,current,ARQI,9,2020-02-15,Maximum journalier de la prévision modèle de l’indice UV en ciel clair (IUVC).,Daily maximum of the model predicted UV Index for clear-sky conditions (IUVC).,Maximum journalier de la prévision modèle de l’indice UV en ciel clair (IUVC). La période couverte est identifiée par IP2 et IP3 indiquant les heures de fin et début à partir du temps de lancement de la prévision.,Daily maximum of the model predicted UV Index for clear-sky conditions (IUVC). The period covered is identified by IP2 and IP3 giving the end and beginning hours from the launch time of the forecast.,real,nil,,0.0,30.0,,,,
